#Pos	Phred	prob	A->C	A->G	A->T	A->N	C->A	C->G	C->T	C->N	G->A	G->C	G->T	G->N	T->A	T->C	T->G	T->N
19	K	0.6584064391086394	46353	50431	46522	0	43999	54308	45753	0	45765	51302	43856	0	47091	49312	50773	0
19	,	0.06276247225062606	21532	19270	16900	0	17295	17089	16419	0	16890	17320	18071	0	16378	18287	22631	0
19	F	0.12160612462291337	7302	7783	7976	0	6435	8455	8083	0	6955	7867	8047	0	6743	7614	8007	0
19	7	0.0338611995769719	4590	4517	4062	0	3796	4599	4109	0	3981	4513	4361	0	3823	4512	5047	0
19	<	0.04075019432817298	4769	4758	4045	0	3532	5095	4090	0	3681	5005	4081	0	3637	4904	5079	0
19	(	0.008821508388631077	7057	7621	776	0	1165	7111	1105	0	1364	6212	1223	0	802	5729	8357	0
19	A	0.07377023839024964	5965	6393	5882	0	5011	6691	5929	0	5080	6283	5933	0	5080	6267	6521	0
19	#	2.182333379564343e-05	0	0	0	52	0	0	0	70	0	0	0	51	0	0	0	55
20	K	0.6615990667692532	47432	52041	45493	0	44567	53622	44954	0	45938	51518	43412	0	47298	50440	51437	0
20	F	0.12182268998595178	7374	8210	7984	0	6661	8582	8079	0	7152	7983	8114	0	6958	7796	8122	0
20	,	0.061514949682862315	21530	19621	17061	0	17153	17357	16582	0	16247	17302	17744	0	16710	18411	22359	0
20	<	0.03969254678594259	4703	4869	4114	0	3642	4774	4060	0	3590	4980	3988	0	3682	4840	4941	0
20	A	0.0733745019005294	6060	6589	5910	0	5044	6954	6037	0	5143	6364	5879	0	5202	6403	6631	0
20	7	0.03329582036647872	4783	4511	4076	0	3890	4575	4133	0	3959	4447	4232	0	3872	4440	5080	0
20	(	0.008685208790283377	7015	7604	874	0	1147	6848	1066	0	1295	6237	1269	0	838	5731	8088	0
20	#	1.5215718698682836e-05	0	0	0	33	0	0	0	35	0	0	0	51	0	0	0	40
21	K	0.6652550864452124	46811	53364	47356	0	45398	54042	45805	0	46867	50914	43185	0	47662	49127	49880	0
21	(	0.008520203662611879	6800	7597	785	0	1183	6692	1111	0	1347	6188	1263	0	770	5499	7924	0
21	A	0.07293661067240013	5961	7115	5965	0	5134	7167	5909	0	5361	6498	5937	0	5289	6127	6697	0
21	F	0.12174058760962483	7555	8493	8077	0	6898	8943	8181	0	7348	7974	8013	0	7188	7716	8073	0
21	,	0.05996997237833961	20667	19181	16624	0	17054	16795	16106	0	16653	16776	17237	0	16169	17584	21694	0
21	<	0.03873176556022435	4658	4922	4109	0	3655	5070	4101	0	3731	4769	4113	0	3650	4656	4962	0
